ID	ISO_code	Languoid	Genus	Family	Macroarea	Form	Meaning	Example(s)	Translation	Gloss	Type	Type_cat	Haiman	Productivity	Productivity_Cat	History	Notes	Reference
kat_02	kat	Georgian	Kartvelian	Kartvelian	Eurasia	Analytic causative with verb i(+)jul-eb-a "cause, force"	NA	xalx-ma me+pe+e (Ø-)a-i(+)jul-a ga-kc-e-ul-i-q'-o	The people forced the king to flee.	people-ERGA king(NOMB) (himB-)NV-force-itA(AOR) PREV-flee-TS-P.PTC-SV-be(3rd.PERA=PLUP)	Syntactic	Synt	y  + a # b + x	No restrictions are mentioned.	NA	NA	NA	Hewitt 1995: 560
kgg_01	kgg	Kusunda	Kusunda	Kusunda	Eurasia	Suffix -da for Class I verbs: the verbs become Class II with suffixed person marking; prefixed person marking is lost; some verbs exhibit morphophonological changes in the root; suffix -da/-a for Class II verbs (variation)	Direct causation	ip-da-d-i	I put him to sleep.	sleep-CAUS-1-PAST	Morphological	Morph	x + y	Intransitive verbs (class I and II)	Partly	NA	da for most intransitive verbs; a for ambitransitives	Watters 2006: 98
kgg_02	kgg	Kusunda	Kusunda	Kusunda	Eurasia	Periphrastic causative with "make" and neutral or finite form of the embedded verb (e.g. realis -n/-ǝn)	Less direct causation, implicative	tsi-gimtsi-da limu-n a-d-i	I got my friend to fight.	1S-friend-ACC fight-REAL make-1-PAST	Syntactic	Synt	x + a # y	No restrictions mentioned.	NA	NA	NA	Watters 2006: 119
kgg_03	kgg	Kusunda	Kusunda	Kusunda	Eurasia	Periphrastic causatives with "send" and the effected predicate as a converb	Indirect causation; unsure whether the meaning is implicative	gina tǝn-da wi a-de tǝmbǝ-g-u	He will get me to build a house.	he me-ACC house make-CNV send-3-IRR:SG	Syntactic	Synt	x + a # y	No restrictions mentioned.	NA	NA	NA	Watters 2006: 119
kos_01	kos	Kusaiean	Oceanic	Austronesian	Papua	Prefix ahk- and transitivizing suffix -ye	NA	Sohn el ahklapyelah oak okoacl ah.	John applied paint/painted (to) his canoe. OR John had his canoe painted (by somebody).	NA	Morphological	Morph	y + x + y	Intransitive verbs, nouns and adjectives	Partly	NA	NA	Lee 1975: 187
kpv_01	kpv	Komi-Zyrjan	Permic	Uralic	Eurasia	Suffix  -əd-	Causation, also total affectedness of the DO, intensive action, volitionality increase (with transitives); assistive (with any verbs) or comitative (esp. with motion verbs)	polž-əd-nɨ "to frighten" from polži-nɨ "to be frightened"	NA	NA	Morphological	Morph	x + y	Intransitive and transitive verbs	Yes	NA	NA	Kalinina et al. 2006: 454
lhu_01	lhu	Lahu	Burmese-Lolo	Sino-Tibetan	Eurasia	Tonal change or tonal change + devoicing of the initial consonant 	NA	tɔ "give to drink" from dɔ̀ "drink"; fá "hide smth." from vàʔ "hide (oneself)"	NA	NA	Morphological Internal	Morph	NA	Over a dozen pairs of verbs 	No	From proto-Tibeto-Burman prefix *s-		Matisoff 1976: 417
lhu_02	lhu	Lahu	Burmese-Lolo	Sino-Tibetan	Eurasia	Analytic causative with cɨ	Coercive or permissive causation, purposeful	šɨ  cɨ "make him die" from šɨ "die"	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Productive (default)	Yes	NA	The most frequent causativizer; thàʔ (dative marker) often marks animate Causee.	Matisoff 1976: 430
lhu_03	lhu	Lahu	Burmese-Lolo	Sino-Tibetan	Eurasia	Analytic causative with te "make, do"	NA	te chu "fatten" from chu "be fat"	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Adjectives and transitive verbs	Partly	NA	NA	Matisoff 1976: 428
lhu_04	lhu	Lahu	Burmese-Lolo	Sino-Tibetan	Eurasia	Analytic causative with instrumental auxiliary yù "take"	NA	yù šɨ "kill" from šɨ "die"	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Intransitive verbs (with transitive verbs indicating actual manipulation of objects, it has the concrete sense take and cut, take and twist, etc.)	Partly	NA	NA	Matisoff 1976: 429
lhu_05	lhu	Lahu	Burmese-Lolo	Sino-Tibetan	Eurasia	Analytic causative with benefactive auxiliary pî "give" (only used as a causativizer when the causee is 3rd person)	Less direct than with lhu_02, not necessarily purposeful action	šɨ  pî "make him die" from šɨ "die"	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	Intransitive verbs (benefactive-directional meaning with transitives)	Partly	NA	NA	Matisoff 1976: 430
lkt_01	lkt	Lakhota	Core Siouan	Siouan	North America	Suffix -ya preceded by personal prefix	NA	ihaŋgya "cause to perish, destroy"	NA	NA	Morphological	Morph	x + y	More often used with stative verbs	Yes	NA	NA	Ingham 2003: 25
lkt_02	lkt	Lakhota	Core Siouan	Siouan	North America	Suffix -k'iya preceded by personal prefix	Occurs more with animate patients and more often has a volitional instigator; can also express "allow"	ec'uŋk'iya "cause to do"	NA	NA	Morphological	Morph	x + y	Occurs more often with verbs with active meaning	Yes	NA	NA	Ingham 2003: 25
mhi_01	mhi	Ma'di 	Moru-Ma'di	Central Sudanic	Africa	Prefix i-; harmonizes with ATR; sometimes replaces the initial vowel	NA	ɓá ɨ̄-zɔ́-kā ɔ̀kpɔ́	It's hard to bring up (young) people.	people (3)-CAUS-grow-SB hard	Morphological	Morph	y + x	Not completely productive	Partly	NA	Sometimes introduces additional semantic shift	Blackings & Fabb 2003: 76
mhi_02	mhi	Ma'di 	Moru-Ma'di	Central Sudanic	Africa	Periphrastic causative with ɓà "make"  followed by a complement clause (with an unsuffixed verb and bare overt subject)	NA	ɔ́pɨ́ ɔ̄-ɓà [má ɗɨ̀ èɓī ] áʊ̄ 	Opi made me to cook fish.	opi 3-make [1S cook fish] FOC	Syntactic	Synt	y # a # x	No restrictions specified	NA	NA	NA	Blackings & Fabb 2003: 419
mhi_03	mhi	Ma'di 	Moru-Ma'di	Central Sudanic	Africa	Periphrastic causative with  ɛ̄ɓɛ̄ "let" followed by a complement clause (with an unsuffixed verb and bare overt subject)	Letting	Analogous to mhi_03	NA	NA	Syntactic	Synt	y # a # x	No restrictions specified	NA	NA	NA	Blackings & Fabb 2003: 419
mle_01	mle	Manambu	Middle Sepik	Sepic	Papua	Prefix kay- pronounced as ka- if there is an a in the following syllable, or as ke-, in rapid speech	Manipulative causation	kay-wi:- ‘break (e.g. a nut)’ from wi:- ‘be broken, break’	NA	NA	Morphological	Morph	y + x	Limited productivity, only some strictly intransitive verbs of affect; with ambitransitive verbs, means that the action is forceful, highly volitional and physical, multiplicity of O	Partly	NA	NA	Aikhenvald 2008: 407
mle_02	mle	Manambu	Middle Sepik	Sepic	Papua	Verb compounds; strictly contiguous (no other element between); often with verbs vya- ‘hit, kill’, væsə- ‘step on’, or vætə- 'bite' as V1	Specifies the exact manner of causation	vya-puti- (hit-fall.off) ‘shake something off by hitting, e.g. dust from a mat or a sheet’ from puti- ‘fall off, come out by itself (e.g. a shoe which is too big)’	NA	NA	Morphological/Syntactic	MorphSynt	y + x or y # x	Highly productive; transitive or intransitive V2; not all verbs can combine with all other verbs (semantic or encyclopaedic restrictions)	Yes	NA	NA	Aikhenvald 2008: 410
mle_03	mle	Manambu	Middle Sepik	Sepic	Papua	Biclausal causatives with the verb kur- "do, make": juxtaposition of two fully inflected clauses	Forceful, direct intentional causation	[rasə-k-na] [kur-na-ñən]	You are making her get up. (said by an annoyed mother to an older child who was kicking her sleeping sister)	get.up-fut-act.foc+3fem.sgbas.vt do-act.foc-2fem.sgbas.vt	Syntactic	Synt	y + a # b + x	No restrictions are mentioned.	NA	NA	NA	Aikhenvald 2008: 412
moc_01	moc	Mocoví	South Guaicuruan	Guaicuruan	South America	Suffix {-Gat-}; also occurs with suffix {-it-} to form causatives from semantically inactive verbs (e.g. sleep, whiten, fatten); in that case, the suffixes are fused in /-qačit-/	Direct factitive causation (manipulative)	ka Ɂa:lo piɁgiloGolaGat na noyak // ka Ɂa:lo Ø-piɁgiloGol-Gat na n-oyak	The woman soaks the clothes	CL mulher 3.suj-se.molhar-Cau CL Ind-pertence	Morphological	Morph	x + y	Controversy: Monovalent verbs (Gualdieri 1998: 256);  monovalent and bivalent verbs, only verbs that express external causation participate in the causative alternation (Carrió 2015: 76, 87)	Partly	NA	The Causer argument can be an agent or cause/instrument.	Gualdieri 1998: 256; Carrió 2015: 76, 87
moc_02	moc	Mocoví	South Guaicuruan	Guaicuruan	South America	Suffix {-Gan-} (inchoative with bivalent verbs)	Indirect factitive causation (only with monovalent verbs)	yidaGan na lasote // i-eda-Gan na l-asote	He moves the twig.	3.suj-se. mexer-Val CL 3.pos-galho	Morphological	Morph	x + y	Tentatively, the verbs with -Gan are unergative (eat, suck, cry, fly, move, laugh); antipassive morpheme with bivalent verbs	Partly	NA	NA	Gualdieri 1998: 263; Carrió 2015: 78-79
moc_03	moc	Mocoví	South Guaicuruan	Guaicuruan	South America	Analytic causative with -la "send" NP1 PRO-la NP2 Pro-V	Indirect factitive causation	jimi si-la ni i-akaiaj rj-eBose naik	I send my brother to cook shad	1Pro 1A-mandar Det 1Pos-hermano 3-cocinar sábalo	Syntactic	Synt	y # a #x	No restrictions are mentioned.	NA	NA	NA	Carrió 2015: 83
moc_04	moc	Mocoví	South Guaicuruan	Guaicuruan	South America	Analytic causative with existential -ve; NP1 Pro-ve Pro-V NP2	Direct factitive causation	s-ve ø-nesal-Gat so noGot	I make the baby vomit	1A-Ex 3-vomitar-Cau Det niño	Syntactic	Synt	y # a + x	No restrictions are mentioned.	NA	NA	NA	Carrió 2015: 84
naq_02	naq	Khoekhoe/Nama	Khoe-Kwadi	Khoe-Kwadi	Africa	Reduplication; the second element undergoes morphotonemic change (both tones become somewhat lowered middle tones)	Direct causation	/haó/hao "collect" from  /haó "come together"	NA	NA	Morphological	Morph	x + x	Simple verb roots, active or stative, or adjectives	Yes	NA	The result is an active root.	Hagman 1977: 73
naq_01	naq	Khoekhoe/Nama	Khoe-Kwadi	Khoe-Kwadi	Africa	Suffix -i plus morphophonological changes in the root	Direct causation	úí "place something in a lying position" from óé "lie down"	NA	NA	Morphological (affixal and internal change)	Morph	x + y or z	Not productive; occurs only with a small number of roots (mostly position verbs)	No	NA	NA	Hagman 1977: 72
naq_03	naq	Khoekhoe/Nama	Khoe-Kwadi	Khoe-Kwadi	Africa	Complex verb with "sponsor auxiliary" verb káí "make, cause, compel or allow to do"	Less direct causation than naq_01 and naq_02 (making or letting, compelling)	jóni ke pílà tómà kè ≠naú káí	John made/allowed Bill (to) hit Tom.	john DECL Bill Tom REM.PAST hit make [glosses my own - NL]	Morphological/Syntactic	MorphSynt	x + y or x # y	No restrictions specified	NA	NA	The auxiliary is not used in any other constructions or on its own.	Hagman 1977: 93
niv_01	niv	Nivkh	Nivkh	Nivkh	Eurasia	Suffix -u; the initial plosive changes into the respective fricative	Contact factitive (not permissive) causation	veta-u- ‘dress (sb)’ from veta- ‘get dressed’; vil-u- ‘make big’ from pil- ‘be big’	NA	NA	Morphological	Morph	x + y	15 intransitive verbs ending in l-, m-, n-, ŋ-, or v-; over 40 intransitives with initial plosives	No	NA	NA	Nedjalkov & Otaina 2013: 133
niv_03	niv	Nivkh	Nivkh	Nivkh	Eurasia	Suffix -ku/-γu/-gu/-xu	Distant factitive or permissive meaning	If lep+ətu-doχ q‘au-r ţ‘e-gu-d̦.	Not covering the bread, he let (it) dry up.	s/he bread+cover-sup not.be-conv:nar:3sg be.dry-caus-ind	Morphological	Morph	x + y	Productive	Yes	NA	 If this is the only way of forming the causative, then also contact-factitive meaning, but this is less common.  The Causee may be marked with agentive suffix -aχ/-χ	Nedjalkov & Otaina 2013: 133
niv_02	niv	Nivkh	Nivkh	Nivkh	Eurasia	The plosive is replaced by a fricative, often the stem ends in a vowel	Contact factitive (not permissive) causation	γuγu- ‘stand (sth/sb), set upright’ from kuγu- ‘stand’	NA	NA	Morphological Internal	Morph	NA	Over 20 intransitives with initial plosives	No	NA	NA	Nedjalkov & Otaina 2013: 133
pao_01	pao	Northern Paiute	Numic	Uto-Aztecan	North America	Instrumental prefix {ma} 'by hand' (the most common), {kɨ] 'by teeth', {ku} 'by heat'; sometimes the base verb does not occur on its own.	Direct, non-mediated casuation, less volutional and controlling Causee; meaning can be idiosynchratic (depends on the root)	u=ma- zɨɁa -u	(S/he) scared her/him.	3 =CAUS-be-afraid-PNC	Morphological	Morph	y + x	Less productive than pao_02	NA	NA	NA	Thornes 2003: 368
pao_02	pao	Northern Paiute	Numic	Uto-Aztecan	North America	Applicative construction with suffix {kɨ}	Indirect, mediated causation, more volitional and controlling Causee	nɨ mɨ =tuaki pakomamaɁi -kɨ	I made/had the kids wash their faces.	I PL =kids wash.the.face-APL	Morphological	Morph	x + y	More productive than pao_01	NA	NA	NA	Thornes 2003: 388
sad_01	sad	Sandawe	Sandawe	Sandawe	Africa	Suffix -kù̥	NA	kêkù̥ "raise" from kê "climb"	NA	NA	Morphological	Morph	x + y	Less productive than causative with sad_03; found in verbs which do not have a non-causative equivalent, e.g. tétékù̥ "take off (clothes)"	Partly	Old suffix	NA	Eaton 2010: 64
sad_02	sad	Sandawe	Sandawe	Sandawe	Africa	Suffix -sé; All the tones in the verb stem preceding the suffix are low	NA	bé:bàsé "move near" from bé:bà "be near"	NA	NA	Morphological	Morph	x + y	Less productive than causative with sad_03; found in verbs which do not have a non-causative equivalent, e.g. bùrùʔsé "winnow"	Partly	NA	NA	Eaton 2010: 64
sad_03	sad	Sandawe	Sandawe	Sandawe	Africa	Suffix -sú (nominalizing suffix -sí) followed by -kù̥	NA	dàràsúkù̥ "make wait" from dàrà "wait"	NA	NA	Morphological	Morph	x + y	The most productive of all suffixes	Yes	NA	Also used to derive causative verbs from nouns	Eaton 2010: 64
skv_01	skv	Skou	Western Skou	Skou	Papua	Serial verb construction with different verbs	Specifies the exact manner of causation	Ke=balèng=ing a te=jí=ko ke=wung.	They killed the man.	3SG.NF=man=the 3PL=PL.hit=OBV 3SG.NF=die	Syntactic	Synt	y + a # b + x	Used when a specific verb is available	Partly	NA	NA	Donohue 2005: 399
skv_02	skv	Skou	Western Skou	Skou	Papua	Periphrastic causative with li "do" (biclausal)	Meaning "X arranged the matter so that Y happened"	Ang ne=ti-ti=ko móe bìng	We wring out the fish-poison roots, and the fish die.	fish.poison 1PL=1PL.do-RED=OBV fish PL.die	Syntactic	Synt	y # a #x	Only lexically monovalent predicates	Partly	NA	NA	Donohue 2005: 395
skv_03	skv	Skou	Western Skou	Skou	Papua	Periphrastic causative with leng "give" (biclausal)	NA	Ne te=r-ing=ko ang ne=ti-ti.	They made us wring out the fish-poison roots.	1PL 3PL=3PL-give.PL=OBV fish.poison 1PL=1PL.do-RED	Syntactic	Synt	y # a #x	Lexically monovalent and bivalent (judging from the example - NL)	Yes	NA	NA	Donohue 2005: 396
skv_04	skv	Skou	Western Skou	Skou	Papua	Periphrastic causative with lóeng ‘say’ (biclausal)	Indirect causation	Áì lóeng=ko ke=toe,	God arranged for him to come, …	father say=OBV 3SG.NF=3.come	Syntactic	Synt	y # a #x	Bivalent predicates are allowed.	Yes	NA	NA	Donohue 2005: 396
tfr_01	tfr	Teribe	Talamanca	Chibchan	North America	Periphrastic construction with causative verb ichë "let, command, send, make, order"; To express causative clauses, the OV-s order is used, the causee becomes the object of the causative verb, the causer is indexed in the causative verb, and the cause event appears as an embedded structure.	Making and Letting (i.e. factitive and permissive causation)	Pãy ichë-r tër lleme	I won't let you play.	2PL send-1SG play NEG	Syntactic	Synt	y + a # x	No restrictions are mentioned.	NA	NA	NA	Quesada 2000: 140
tfr_02	tfr	Teribe	Talamanca	Chibchan	North America	Periphrastic construction with causative verb yë "put"; To express causative clauses, the OV-s order is used, the causee becomes the object of the causative verb, the causer is indexed in the causative verb, and the cause event appears as an embedded structure	Making (i.e. factitive) 	E yo-ro-r di yë	I made him drink water.	DEM put-PERF-1SG water drink	Syntactic	Synt	y + a # x	No restrictions are mentioned.	NA	NA	NA	Quesada 2000: 140
tkl_01	tkl	Takelma	Takelma	Takelma	North America	Addition of -(a)n- to the intransitive form minus its pronominal elements; -n- when the base form end in a vowel (the latter will be lengthened); -an- otherwise.	NA	hoyodana'ɛn "I make him dance"	NA	NA	Morphological	Morph	x + y	Formed from intransitives	Partly	NA	NA	Sapir 1990: 151
tkl_02	tkl	Takelma	Takelma	Takelma	North America	Construction with verb-stems prefixed to verbs klemn- "make" and  nāag- "say to"	The activity of the subject is more clearly defined than in tkl_01.	woˋkʿ k!emana'nxi "let me come!" (literally, arrive make-me!)	NA	NA	Morphological/Syntactic	MorphSynt	x + y or x # y	No restrictions are mentioned.	NA	NA	NA	Sapir 1990: 205
tlp_01	tlp	Filomeno Mata Totonac	Totonac?	Totonacan	North America	Prefix maa- (commonly with transitivizing suffix -ii or -VV; can be thought of as a circumfix)	Direct causation	maa-xiksw-í 	I asphyxiate you (directly).	NA	Morphological	Morph	y + x	Productive, except for postural verbs.	Partly	NA	The Causee is marked as O; transitives require dative –nii to mark the additional object.	McFarland 2009: 150
tlp_02	tlp	Filomeno Mata Totonac	Totonac?	Totonacan	North America	Prefix maq(a)-	Indirect or unintentional causation	maqa-xikswá 	I make you asphyxiate (indirectly, e.g., by making you laugh while you eat).	NA	Morphological	Morph	y + x	A limited number of intransitive verbs, most having experiencer subjects and belonging to the semantic field of bodily sensations and emotions.	No	NA	NA	McFarland 2009: 155
tpy_01	tpy	Trumai	Trumai	Trumai	South America	Particle -ka	NA	hai-ts Yakairu-ø sa ka.	‘I made Yakairu dance.’	1-Erg Yakairu-Abs dance Caus	Morphological/Syntactic	MorphSynt	x + y or x # y	Productive	Yes	NA	Intransitive: Causer ERG, Causee ABS (causer-Erg causee-Abs V ka); clitic can be on particle. Extended intransitive: causer-Erg causee-Abs V ka Dat; transitive: Causer and Causee is in ERG (causer-Erg causee-Erg O-Abs V ka). Extended transitive (causer-Erg causee-Erg O-Abs V ka Dat).	Guirardello 1999: 356
tpy_02	tpy	Trumai	Trumai	Trumai	South America	Verb tao ‘order/give order', can be in the first position	Causing somebody to do something; by order	hai-ts ka_in [Atawaka-ø pa ] tao.	I ordered Atawaka to marry.	1-Erg Foc/Tens Atawaka-Abs marry order	Syntactic	Synt	x # y or y # a # x	No restrictions are mentioned.	NA	NA	NA	Guirardello 1999: 360
tpy_03	tpy	Trumai	Trumai	Trumai	South America	Verb mit' "let"; cannot be in the end of the sentence	Letting smb do something	mit’ hai-ts Atawaka-ø sa ka.	I let Atawaka dance.	leave 1-Erg Atawaka-Abs dance Caus	Syntactic	Synt	y # a # x	No restrictions are mentioned.	NA	NA	Not clear what the particle ka means here (NL).	Guirardello 1999: 360
tsj_01	tsj	Tshangla	Bodic	Sino-Tibetan	Eurasia	Periphrastic causatives with ale 'to do', cotpe 'to make' and chakpe 'to establish'; takes a nominalized -wa complement	The causal force is attributed entirely to the matrix subject or causer, leaving the causee with little or no volition or causal agency 	Onya lhakhang nang-ka gadang sang-rna a-wa cho-khan songo thur ca giwala.	In that temple was a person who had a hand that had been made to be shriveled.	DEM temple in-LOC hand dry-NOM do-NOM stay-REL	Syntactic	Synt	x + a # y	No restrictions are mentioned.	NA	NA	NA	Andvik 2010: 320
tsj_02	tsj	Tshangla	Bodic	Sino-Tibetan	Eurasia	Periphrastic causative with verb bile "give" or its honorific form nangme; usually takes the infinitival complement	Some volition or agency on the part of the causee as well as the causer	Shingsi dasur yu-le bi-nyi...	'He had them melt some oil for him .. .'	oil bit melt-INF give-NF	Syntactic	Synt	x + a # y	No restrictions are mentioned.	NA	NA	NA	Andvik 2010: 319
tvo_01	tvo	Tidore	North Halmaheran	West Papuan	Papua	Prefix so- (obsolete form ho-)	NA	Patty mo-so-bane ngofa nde toma oto ma-doya	Patty puts the child into the car.	Patty 3SG.F.A-CAUS-NOM.get.into child 3NH.here LOC car 3NH.POS-inside	Morphological	Morph	y + x	Nominal or adjectival stems, verbal roots (first have to be nominalized)	Yes	NA	NA	van Staden 2000: 118
tvo_02	tvo	Tidore	North Halmaheran	West Papuan	Papua	Phrasal verb with gahi "make"; WO variation (V1 and V2 need not be adjacent); V2 is never inflected	Intentional or unintentional causation	ma-so-garo nde=ge supaya gahi sone una	They called on each other’s help so that he could be killed.	REFL-CAUS-NOM.call 3NH.here=there in.order.to make die 3SG.M	Syntactic	Synt	y # (a) #x	Verbal, nominal or adjectival predicates	Yes	NA	NA	van Staden 2000: 328
ude_01	ude	Udihe	Tungusic	Altaic	Eurasia	Suffix -u- 	NA	sa-u- "make know, inform" from sa:- "know"; tet-u- "dress someone" from teti- "put on clothes"; il-u- "put" from ili- "stand"	NA	NA	Morphological	Morph	x + y	Not productive	No	The suffix is etymologically related to the passive affix.	The suffix precedes other affixes of deverbal derivation in the verbal form; typically replaces the stem-final /i/ or /e/.	Nikolaeva & Tolskaya 2001: 302-303
ude_02	ude	Udihe	Tungusic	Altaic	Eurasia	Suffix -wAn- added to the verbal form 	NA	Tigde-wen-e-je.	Make it rain!	rain-CAUS-0-MP.2SG	Morphological	Morph	x + y	Fully productive	Yes	NA	Other affixes are allowed between V and the suffix; an epenthetic vowel may be inserted between the stem and the suffix, e.g. lagban-a-wan- "glue" (stick-CAUS); the stem-final /n/ may change into /m/, while the causative suffix appears in the form -uAn-, e.g. lagbam-uan- "glue" (stick-CAUS); Intransitive: Causee is in the Accusative (or Nominative if bears a possessive reflexive suffix); dialectal variation. Transitive: Causee is in Acc (factitive) or Dat (factitive or permissive, with verbs of perception). 	Nikolaeva & Tolskaya 2001: 582
ura_01	ura	Urarina	Urarina	Urarina	South America	Suffix -a; many morphophonological irregularities	Direct personal involvement of the Causer	nalʉ-a-a [nalaa] 'drop' from nalʉ-a 'fall'	NA	NA	Morphological	Morph	x + y	Less productive than ura_02; attached only to intransitives	Partly	NA	NA	Olawsky 2006: 616
ura_02	ura	Urarina	Urarina	Urarina	South America	Suffix -erate; many morphophonological irregularities	Indirect causation	kaa katɕa-ʉrʉ amia-rate-reheto-a=lʉ	He used to make these people work.	[this man-PL] [work-CAU2-HABl-3ps/A=REM]	Morphological	Morph	x + y	Productive; with stative verbs only in elicitation	Yes	NA	The Causee is marked as O when base is intransitive, oblique when transitive (marked by postposition ke).	Olawsky 2006: 609
wao_01	wao	Wappo	Wappo	Wappo-Yukian	North America	Diverse	NA	ah čhuya-nan č'a-č'el-taɁ	I opened the door.	1SG:NOM house-mouth DIR-open-PST	Lexical	Lex	z	Not productive	No	NA	NA	Thompson et al. 2006: 135
wao_02	wao	Wappo	Wappo	Wappo-Yukian	North America	Suffix -(t/Ɂ)is-/-asa- attached to the unmarked form of the verbal root; epistemic consonant is added with the root ends with a vowel, optional otherwise	Less effort than wao_04, making or letting; sometimes accidental causation	ah čhuya-nan č'a-č'el-tis-taɁ	I opened the door (as if it has been stuck).	1SG:NOM house-mouth DIR-open-CAUS-PST	Morphological	Morph	x + y	Transitive and intransitive verbs	Yes	NA	The causee is zero-marked (in ACC)	Thompson et al. 2006: 135
wao_03	wao	Wappo	Wappo	Wappo-Yukian	North America	Prefix  oh-	Causativization or intensification (when added to non-property stems)	ah ce čhuya oh-tuč'-taɁ	I made the house bigger.	1SG:NOM DEM house CAUS-big-PST	Morphological	Morph	y + x	Property roots (adjectives in English)	Partly	NA	NA	Thompson et al. 2006: 136
wao_04	wao	Wappo	Wappo	Wappo-Yukian	North America	Periphrastic causative with mes- "make"	Forceful causation or neutral causation (if no forceful interpretation is available); also causing non-incidental events (the Causee in control)	ah [čhuya-nan č'a-č'el-ukh] mes-taɁ	I opened the door (I had to pry it open).	1SG:NOM house-mouth DIR-open-INF make-PST	Syntactic	Synt	x+a # y	No restrictions specified	NA	NA	NA	Thompson et al. 2006: 135
xnz_01	xnz	Nubian (Kunuz)	Nubian	Eastern Sudanic	Africa	Suffix -kir	NA	icci-g essi-kir-s-i	I caused the milk to be water.	milk-ACC water-CAUS-pst-1SG	Morphological	Morph	x + y	Adjectives, nouns, numerals and some verbs	Partly	NA	NA	Abdel-Hafiz 1988: 107
xnz_02	xnz	Nubian (Kunuz)	Nubian	Eastern Sudanic	Africa	Siffix -kiddi, -iddi after velar /g/	NA	katre-g bo:r-kiddi-s-a	I caused the wall to fall down.	wall-ACC destroy-CAUS-PST-1SG	Morphological	Morph	x + y	Verbs	Partly	NA	NA	Abdel-Hafiz 1988: 110
yee_01	yee	Yimas	Lower Sepik	Lower Sepik-Ramu	Papua	Morpheme tal- (allomorphs tal- and tar-) 	Direct causation, also for magic	na-ŋa-tar-kwalca-t	She woke me up. (physical manipulation, e.g. by shaking)	3SG A- lSG 0-CAUS-rise-PERF	Morphological	Morph	y + x	Monovalent achievements and activities	Partly	Reanalysis of a serial verb construction with tal "hold"	The Causee is coded as a D participant if the verb contains three pronominal prefixes.	Foley 1991: 291
yee_02	yee	Yimas	Lower Sepik	Lower Sepik-Ramu	Papua	Morpheme tmi-	Indirect causation	na-ŋa-tmi-kwalca-t	She woke me up. (by verbal action, e.g. calling my name or yelling)	3SG A- lSG 0-CAUS-rise-PERF	Morphological	Morph	y + x	Monovalent achievements and activities; very rarely bivalent roots (usually, a circumlocution is used instead)	Partly	From verb tmi "say"	The Causee is coded as a D participant if the verb contains three pronominal prefixes.	Foley 1991: 291
yux_01	yux	Yukaghir (Kolyma)	Yukaghir	Yukaghir	Eurasia	Suffixes -te- and -še- (must have been morphophonetic variants of yux_02)	NA	ege-te- 	"put up, install"	stand.up-CAUS	Morphological	Morph	x + y	Preserved only within a very restricted set of verbs (-te- combines with verbs of motion, state and everyday self-care actions); the semantics cannot be reduced to causation proper (217)	No	NA	NA	Maslova 2003: 216
yux_02	yux	Yukaghir (Kolyma)	Yukaghir	Yukaghir	Eurasia	Suffix -š-	NA	ninge-j šoromo-k ahurpe-š-me	I made many people suffer.	many-ATTR person-PRED suffer-CAUS-OF:1SG	Morphological	Morph	x + y	Any verb stem (transitive or intransitive), excluding those that take the non-productive causative suffix	Partly	NA	Causee takes DO position if the initial verb is intransitive, IO position otherwise.	Maslova 2003: 213
yux_03	yux	Yukaghir (Kolyma)	Yukaghir	Yukaghir	Eurasia	Suffix -čil'e- added to the causative stem with -š-	Increase in distance between the Causer and Causee; including unintentional causation or permission	ewre-š-čil'e- "make someone walk, let someone walk" from ewre-š- "make someone walk, lead, carry"	NA	NA	Morphological	Morph	x + y	Seems to be quite productive	Yes	NA	This suffix is available, but is in fact out of use.	Maslova 2003: 215
yuz_01	yuz	Yuracare/Yurakare	Yuracare	Yuracare	South America	Diverse	NA	bobo "hit, kill" from tuwi/shama "to die sg/pl", etc.	NA	NA	Lexical	Lex	z	Not productive	No	NA	NA	van Gijn 2006: 180
yuz_03	yuz	Yuracare/Yurakare	Yuracare	Yuracare	South America	Suffix -che, which is used instead of the middle -tA	NA	sawache "cause to work" from sawata "work"; boleche "inflate (tr.)" from boleta "inflate (intr.)"	NA	NA	Morphological	Morph	x + y	No restrictions specified	NA	NA	NA	van Gijn 2006: 178
yuz_04	yuz	Yuracare/Yurakare	Yuracare	Yuracare	South America	Reduplication of the first syllable of the root	NA	posojpo "explode (tr.)" from posojto "explode (intr.)"	NA	NA	Morphological	Morph	x + x	No restrictions specified	NA	NA	NA	van Gijn 2006: 178
yuz_02	yuz	Yuracare/Yurakare	Yuracare	Yuracare	South America	Changing the final vowel of the root to -a	NA	busha "lay down" from bushu "lie down"; tüta "sit down (tr.)" from tütü "sit down"; yoya "cover (bed)" from yoyo "be covered (bed)"	NA	NA	Morphological Internal	Morph	NA	Not productive	No	NA	NA	van Gijn 2006: 180
yuz_05	yuz	Yuracare/Yurakare	Yuracare	Yuracare	South America	Periphrastic causative with verb ibëbë "to treat someone in a certain way"; in most cases, the second bë is lost. 	NA	abëssë ti-m-bë-ø	He made me play.	play 1SG-IO-treat-3	Syntactic	Synt	x # a # y	No restrictions specified	NA	NA	NA	van Gijn 2006: 179-180
